source,plot,abund,id
Phyllosphere,phyllosphere-CN,0.022727273,Deltaproteobacteria
Phyllosphere,phyllosphere-CN,0.204545455,Gammaproteobacteria
Phyllosphere,phyllosphere-CN,0.204545455,Solibacteres
Phyllosphere,phyllosphere-CN,0.136363636,Sphingobacteria
Phyllosphere,phyllosphere-CN2,0.03125,Acidobacteria-5
Phyllosphere,phyllosphere-CN2,0.09375,Alphaproteobacteria
Phyllosphere,phyllosphere-CN2,0.15625,Bacilli
Phyllosphere,phyllosphere-CN2,0.03125,Betaproteobacteria
Phyllosphere,phyllosphere-CN2,0.125,Clostridia
Phyllosphere,phyllosphere-CN2,0.25,Gammaproteobacteria
Phyllosphere,phyllosphere-CN2,0.25,Solibacteres
Phyllosphere,phyllosphere-CN2,0.0625,Sphingobacteria
Phyllosphere,phyllosphere-CS,0.033333333,Actinobacteria
Phyllosphere,phyllosphere-CS,0.033333333,Betaproteobacteria
Phyllosphere,phyllosphere-CS,0.933333333,Gammaproteobacteria
Phyllosphere,phyllosphere-CS2,0.025,Acidobacteria
Phyllosphere,phyllosphere-CS2,0.225,Bacilli
Phyllosphere,phyllosphere-CS2,0.075,Betaproteobacteria
Phyllosphere,phyllosphere-CS2,0.025,Chloracidobacteria
Phyllosphere,phyllosphere-CS2,0.025,Clostridia
Phyllosphere,phyllosphere-CS2,0.3,Gammaproteobacteria
Phyllosphere,phyllosphere-CS2,0.3,Solibacteres
Phyllosphere,phyllosphere-CS2,0.025,Sphingobacteria
Phyllosphere,phyllosphere-jul,0.011904762,Bacilli
Phyllosphere,phyllosphere-jul,0.011904762,Betaproteobacteria
Phyllosphere,phyllosphere-jul,0.964285714,Gammaproteobacteria
Phyllosphere,phyllosphere-jul,0.011904762,Solibacteres
Phyllosphere,phyllosphere-jul1,0.5,Flavobacteria
Phyllosphere,phyllosphere-jul1,0.5,Sphingobacteria
Phyllosphere,phyllosphere-jun1,0.136363636,Alphaproteobacteria
Phyllosphere,phyllosphere-jun1,0.045454545,Bacilli
Phyllosphere,phyllosphere-jun1,0.045454545,Betaproteobacteria
Phyllosphere,phyllosphere-jun1,0.090909091,Deinococci
Phyllosphere,phyllosphere-jun1,0.681818182,Gammaproteobacteria
Phyllosphere,phyllosphere-jun2,0.03030303,Actinobacteria
Phyllosphere,phyllosphere-jun2,0.151515152,Alphaproteobacteria
Phyllosphere,phyllosphere-jun2,0.060606061,Bacilli
Phyllosphere,phyllosphere-jun2,0.060606061,Betaproteobacteria
Phyllosphere,phyllosphere-jun2,0.090909091,Deinococci
Phyllosphere,phyllosphere-jun2,0.606060606,Gammaproteobacteria
Phyllosphere,phyllosphere-l,0.012820513,Actinobacteria
Phyllosphere,phyllosphere-l,0.064102564,Alphaproteobacteria
Phyllosphere,phyllosphere-l,0.051282051,Bacilli
Phyllosphere,phyllosphere-l,0.025641026,Betaproteobacteria
Phyllosphere,phyllosphere-l,0.038461538,Clostridia
Phyllosphere,phyllosphere-l,0.012820513,Deinococci
Phyllosphere,phyllosphere-l,0.743589744,Gammaproteobacteria
Phyllosphere,phyllosphere-l,0.025641026,Solibacteres
Phyllosphere,phyllosphere-l,0.025641026,Sphingobacteria
Phyllosphere,phyllosphere-m,0.1,Alphaproteobacteria
Phyllosphere,phyllosphere-m,0.166666667,Bacilli
Phyllosphere,phyllosphere-m,0.033333333,Bacteroidia
Phyllosphere,phyllosphere-m,0.166666667,Betaproteobacteria
Phyllosphere,phyllosphere-m,0.033333333,Deltaproteobacteria
Phyllosphere,phyllosphere-m,0.133333333,Gammaproteobacteria
Phyllosphere,phyllosphere-m,0.133333333,Solibacteres
Phyllosphere,phyllosphere-m,0.233333333,Sphingobacteria
Phyllosphere,phyllosphere-m2,0.068965517,Acidobacteria
Phyllosphere,phyllosphere-m2,0.034482759,Alphaproteobacteria
Phyllosphere,phyllosphere-m2,0.275862069,Bacilli
Phyllosphere,phyllosphere-m2,0.034482759,Bacteroidia
Phyllosphere,phyllosphere-m2,0.068965517,Betaproteobacteria
Phyllosphere,phyllosphere-m2,0.034482759,Clostridia
Phyllosphere,phyllosphere-m2,0.034482759,Deinococci
Phyllosphere,phyllosphere-m2,0.310344828,Gammaproteobacteria
Phyllosphere,phyllosphere-m2,0.103448276,Sphingobacteria
Phyllosphere,phyllosphere-m2,0.034482759,TM7-3
Phyllosphere,phyllosphere-may1,0.11627907,Bacilli
Phyllosphere,phyllosphere-may1,0.069767442,Betaproteobacteria
Phyllosphere,phyllosphere-may1,0.744186047,Gammaproteobacteria
Phyllosphere,phyllosphere-may1,0.069767442,Sphingobacteria
Phyllosphere,phyllosphere-may2,0.0625,Alphaproteobacteria
Phyllosphere,phyllosphere-may2,0.03125,Bacilli
Phyllosphere,phyllosphere-may2,0.09375,Betaproteobacteria
Phyllosphere,phyllosphere-may2,0.03125,Clostridia
Phyllosphere,phyllosphere-may2,0.78125,Gammaproteobacteria
Phyllosphere,phyllosphere-oct26,0.041666667,Acidobacteria
Phyllosphere,phyllosphere-oct26,0.083333333,Acidobacteria-5
Phyllosphere,phyllosphere-oct26,0.083333333,Bacilli
Phyllosphere,phyllosphere-oct26,0.166666667,Betaproteobacteria
Phyllosphere,phyllosphere-oct26,0.041666667,Flavobacteria
Phyllosphere,phyllosphere-oct26,0.208333333,Gammaproteobacteria
Phyllosphere,phyllosphere-oct26,0.083333333,Solibacteres
Phyllosphere,phyllosphere-oct26,0.291666667,Sphingobacteria
Phyllosphere,phyllosphere-oct26b,0.02173913,Acidobacteria
Phyllosphere,phyllosphere-oct26b,0.065217391,Acidobacteria-5
Phyllosphere,phyllosphere-oct26b,0.065217391,Alphaproteobacteria
Phyllosphere,phyllosphere-oct26b,0.02173913,Betaproteobacteria
Phyllosphere,phyllosphere-oct26b,0.043478261,Flavobacteria
Phyllosphere,phyllosphere-oct26b,0.434782609,Gammaproteobacteria
Phyllosphere,phyllosphere-oct26b,0.043478261,Solibacteres
Phyllosphere,phyllosphere-oct26b,0.304347826,Sphingobacteria
Phyllosphere,phyllosphere-p,0.090909091,Alphaproteobacteria
Phyllosphere,phyllosphere-p,0.03030303,Bacilli
Phyllosphere,phyllosphere-p,0.166666667,Betaproteobacteria
Phyllosphere,phyllosphere-p,0.045454545,Deltaproteobacteria
Phyllosphere,phyllosphere-p,0.515151515,Gammaproteobacteria
Phyllosphere,phyllosphere-p,0.015151515,Solibacteres
Phyllosphere,phyllosphere-p,0.136363636,Sphingobacteria
Phyllosphere,phyllosphere-s,0.03030303,Acidobacteria
Phyllosphere,phyllosphere-s,0.303030303,Alphaproteobacteria
Phyllosphere,phyllosphere-s,0.515151515,Betaproteobacteria
Phyllosphere,phyllosphere-s,0.121212121,Gammaproteobacteria
Phyllosphere,phyllosphere-s,0.03030303,Sphingobacteria
Phyllosphere,phyllosphere-s2,0.076923077,Alphaproteobacteria
Phyllosphere,phyllosphere-s2,0.025641026,Bacilli
Phyllosphere,phyllosphere-s2,0.615384615,Betaproteobacteria
Phyllosphere,phyllosphere-s2,0.025641026,Deinococci
Phyllosphere,phyllosphere-s2,0.076923077,Deltaproteobacteria
Phyllosphere,phyllosphere-s2,0.051282051,Gammaproteobacteria
Phyllosphere,phyllosphere-s2,0.128205128,Sphingobacteria
Phyllosphere,phyllosphere-sep28,0.032258065,Acidobacteria-5
Phyllosphere,phyllosphere-sep28,0.129032258,Alphaproteobacteria
Phyllosphere,phyllosphere-sep28,0.064516129,Bacilli
Phyllosphere,phyllosphere-sep28,0.161290323,Betaproteobacteria
Phyllosphere,phyllosphere-sep28,0.032258065,Chloracidobacteria
Phyllosphere,phyllosphere-sep28,0.096774194,Clostridia
Phyllosphere,phyllosphere-sep28,0.032258065,Deltaproteobacteria
Phyllosphere,phyllosphere-sep28,0.225806452,Gammaproteobacteria
Phyllosphere,phyllosphere-sep28,0.129032258,Solibacteres
Phyllosphere,phyllosphere-sep28,0.096774194,Sphingobacteria
Phyllosphere,phyllosphere-sep28b,0.093023256,Acidobacteria
Phyllosphere,phyllosphere-sep28b,0.023255814,Acidobacteria-5
Phyllosphere,phyllosphere-sep28b,0.023255814,Actinobacteria
Phyllosphere,phyllosphere-sep28b,0.139534884,Alphaproteobacteria
Phyllosphere,phyllosphere-sep28b,0.093023256,Bacilli
Phyllosphere,phyllosphere-sep28b,0.069767442,Betaproteobacteria
Phyllosphere,phyllosphere-sep28b,0.046511628,Flavobacteria
Phyllosphere,phyllosphere-sep28b,0.279069767,Gammaproteobacteria
Phyllosphere,phyllosphere-sep28b,0.093023256,Solibacteres
Phyllosphere,phyllosphere-sep28b,0.139534884,Sphingobacteria
Phyllosphere,phyllosphere-sep7,0.028985507,Acidobacteria-5
Phyllosphere,phyllosphere-sep7,0.043478261,Alphaproteobacteria
Phyllosphere,phyllosphere-sep7,0.072463768,Betaproteobacteria
Phyllosphere,phyllosphere-sep7,0.014492754,Clostridia
Phyllosphere,phyllosphere-sep7,0.014492754,Deinococci
Phyllosphere,phyllosphere-sep7,0.68115942,Gammaproteobacteria
Phyllosphere,phyllosphere-sep7,0.072463768,Solibacteres
